,trial,stayBarOn,foragingTime,choiceMade,rewarded,rewardSize,trialErrors,timeToFixate,minFixTimeToStart,holdFixTime,timeToChoose,ITI,timeInErrorState,allForagingTimes,shrinkRate,handlingTime,allJuiceAmounts,choiceTime,completeTime,trialErrors_error1,trialErrors_error2,monkey,file,date,session,trial_uid
4605,199,left,5,stay,yes,0.13499999999999995,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5070952532114461,0.50710434676148,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|199
4606,200,left,5,leave,no,0.0,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5071585566038266,0.5072715980932117,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|200
4607,201,right,5,leave,no,0.0,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5073480433784425,0.50746135704685,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|201
4608,202,left,5,stay,yes,0.2,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5075101146940142,0.5075187080074102,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|202
4609,203,left,5,stay,yes,0.187,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5075431511504576,0.5075520310783759,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|203
4610,204,left,5,stay,yes,0.174,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.507612717570737,0.5076211445266381,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|204
4611,205,left,5,stay,yes,0.16099999999999998,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5076878456166014,0.5076965754851699,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|205
4612,206,left,5,stay,yes,0.14799999999999996,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.507752492907457,0.5077616756316274,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|206
4613,207,left,5,stay,yes,0.13499999999999995,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5078768999082968,0.5078858495689929,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|207
4614,208,left,5,leave,no,0.0,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5079917255789042,0.5081043174723163,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|208
4615,209,right,5,leave,no,0.0,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5081431420985609,0.5082558214198798,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|209
4616,210,left,5,leave,no,0.0,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5082740469370037,0.5083850774681196,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|210
4617,211,right,5,leave,no,0.0,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5085527171613649,0.5086632380262017,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|211
4618,212,left,5,leave,no,0.0,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5086916459258646,0.5088029876351357,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|212
4619,213,right,5,leave,no,0.0,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5088210692629218,0.508933351142332,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|213
4620,214,left,5,leave,no,0.0,,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5101213738089427,0.5102338214637712,noInitiate,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|214
4621,215,right,5,leave,no,0.0,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5102611418114975,0.5103746555978432,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|215
4622,216,left,5,leave,no,0.0,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.510414338321425,0.5105273760855198,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|216
4623,217,right,5,stay,yes,0.2,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.510572055936791,0.5105815158458427,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|217
4624,218,right,5,leave,no,0.0,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5106555924285203,0.5107657188782468,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|218
4625,219,left,5,stay,yes,0.2,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5107855568639934,0.510794079513289,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|219
4626,220,left,5,stay,yes,0.187,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5108502947259694,0.5108587145805359,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|220
4627,221,left,5,stay,yes,0.174,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.510892326477915,0.5109005216509104,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|221
4628,222,left,5,stay,yes,0.16099999999999998,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5109243816696107,0.5109335473971441,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|222
4629,223,left,5,leave,no,0.0,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5109550810884684,0.5110665352549404,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|223
4630,224,right,5,leave,no,0.0,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5110879822168499,0.5112016836646944,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|224
